Unix_Timestamp,Battery,Temperature,PAR,Acceleration_X,Acceleration_Y,Acceleration_Z
1717558140,3.52,21.755,3,1102,103,248
1717558740,3.52,21.789,3.6,1127,99,188
1717559340,3.52,21.747,4,1136,96,188
1717559940,3.52,21.588,4.7,1103,102,248
1717560540,3.52,21.445,4.6,999,60,384
1717561140,3.52,21.37,4.5,1009,62,387
1717561740,3.52,21.328,4.8,1046,70,376
1717562340,3.52,21.211,5.3,1104,100,256
1717562940,3.52,21.152,6.8,1107,108,240
1717563540,3.52,21.102,8,1103,104,252
1717564140,3.52,21.11,13.8,1107,104,240
1717564740,3.52,21.11,14.7,1100,105,256
1717565340,3.52,21.127,18.2,1102,103,256
1717565940,3.52,21.16,16.8,1142,80,192
1717566540,3.52,21.169,16.7,1100,100,268
1717567140,3.52,21.169,21,1087,96,294
1717567740,3.52,21.16,18.1,1054,78,360
1717568340,3.52,21.16,21.9,1107,104,248
1717568940,3.52,21.169,22.4,1063,80,352
1717569540,3.52,21.177,24,1060,83,348
1717570140,3.52,21.169,25.6,1084,88,304
1717570740,3.52,21.169,28.4,1102,104,252
1717571340,3.52,21.177,29.3,1108,104,240
1717571940,3.52,21.185,29,1052,76,366
1717572540,3.52,21.185,31.9,1100,99,262
1717573140,3.52,21.185,22.7,1063,80,348
1717573740,3.52,21.152,28.8,1088,96,294
1717574340,3.52,21.144,34.3,1096,99,272
1717574940,3.52,21.118,25.8,1087,92,296
1717575540,3.52,21.068,32.3,1139,72,191
1717576140,3.52,20.993,35.9,1008,64,385
1717576740,3.52,20.942,36.5,1134,96,184
1717577340,3.52,20.917,35.9,1136,99,192
1717577940,3.52,20.9,35.8,1011,64,384
1717578540,3.52,20.934,35.8,1128,104,192
1717579140,3.52,21.001,36.4,1108,108,232
1717579740,3.52,21.018,35.7,1008,64,387
1717580340,3.52,21.102,36.3,1063,80,348
1717580940,3.52,21.177,35.6,1060,80,353
1717581540,3.52,21.253,35.3,1004,60,384
1717582140,3.52,21.311,35.1,1004,60,384
1717582740,3.52,21.328,34.4,1091,96,284
1717583340,3.52,21.345,34.5,999,62,384
1717583940,3.52,21.37,32.2,1004,62,384
1717584540,3.52,21.37,31.5,1006,60,384
1717585140,3.52,21.42,32.8,1008,62,384
1717585740,3.52,21.437,32.2,999,57,382
1717586340,3.52,21.429,31.8,1016,64,384
1717586940,3.52,21.454,30.8,1142,64,199
1717587540,3.52,21.454,30.2,1020,65,384
1717588140,3.52,21.462,30.7,1136,84,188
1717588740,3.52,21.429,30,1000,63,376
1717589340,3.52,21.429,30.1,1008,60,384
1717589940,3.52,21.454,29.2,1024,68,384
1717590540,3.52,21.496,28.4,1014,64,384
